,Line,English name,Russian name,Coordinates
197,10,Trubnaya,Трубная,"55.7688,37.6200"
198,10,Sretensky Bulvar,Сретенский бульвар,"55.7668,37.6392"
199,10,Chkalovskaya,Чкаловская,"55.7565,37.6573"
200,10,Rimskaya,Римская,"55.7463,37.6819"
201,10,Krestyanskaya Zastava,Крестьянская застава,"55.7331,37.6673"
202,10,Dubrovka,Дубровка,"55.7186,37.6760"
203,10,Kozhukhovskaya,Кожуховская,"55.7074,37.6851"
204,10,Pechatniki,Печатники,"55.6934,37.7270"
205,10,Volzhskaya,Волжская,"55.6909,37.7530"
206,10,Lyublino,Люблино,"55.6758,37.7618"
207,10,Bratislavskaya,Братиславская,"55.6597,37.7505"
208,10,Maryino,Марьино,"55.6500,37.7431"
209,10,Borisovo,Борисово,"55.6334,37.7436"
210,10,Shipilovskaya,Шипиловская,"55.6211,37.7437"
211,10,Zyablikovo,Зябликово,"55.6124,37.7453"
212,11,Kakhovskaya,Каховская,"55.6530,37.5983"
213,11,Zyuzino,Зюзино,"55.6563,37.5721"
214,11,Vorontsovskaya,Воронцовская,"55.6587,37.5399"
215,11,Novatorskaya,Новаторская,"55.6701,37.5218"
216,11,Prospekt Vernadskogo,Проспект Вернадского,"55.6778,37.5050"
217,11,Michurinsky Prospekt,Мичуринский проспект,"55.6884,37.4851"
218,11,Aminyevskaya,Аминьевская,"55.6972,37.4642"
219,11,Davydkovo,Давыдково,"55.7153,37.4517"
220,11,Kuntsevskaya,Кунцевская,"55.7304,37.4457"
221,11,Terekhovo,Терехово,"55.7492,37.4606"
222,11,Mnyovniki,Мнёвники,"55.7585,37.4708"
223,11,Narodnoye Opolcheniye,Народное Ополчение,"55.7738,37.4844"
224,11A,Delovoy Tsentr,Деловой центр,"55.7475,37.5319"
225,11A,Shelepikha,Шелепиха,"55.7567,37.5260"
226,11,Khoroshyovskaya,Хорошёвская,"55.7768,37.5207"
227,11,CSKA,ЦСКА,"55.7866,37.5333"
228,11,Petrovsky Park,Петровский парк,"55.7918,37.5571"
229,11,Savyolovskaya,Савёловская,"55.7936,37.5880"
230,12,Bittsevsky Park,Битцевский парк,"55.6004,37.5562"
231,12,Lesoparkovaya,Лесопарковая,"55.5821,37.5769"
232,12,Ulitsa Starokachalovskaya,Улица Старокачаловская,"55.5690,37.5767"
233,12,Ulitsa Skobelevskaya,Улица Скобелевская,"55.5481,37.5546"
234,12,Bulvar Admirala Ushakova,Бульвар Адмирала Ушакова,"55.5455,37.5430"
235,12,Ulitsa Gorchakova,Улица Горчакова,"55.5418,37.5308"
236,12,Buninskaya Alleya,Бунинская аллея,"55.5380,37.5158"
237,13,Timiryazevskaya,Тимирязевская,"55.8190,37.5789"
238,13,Ulitsa Milashenkova,Улица Милашенкова,"55.8218,37.5911"
239,13,Teletsentr,Телецентр,"55.8218,37.6089"
240,13,Ulitsa Akademika Korolyova,Улица Академика Королёва,"55.8218,37.6269"
241,13,Vystavochny Tsentr,Выставочный центр,"55.8240,37.6383"
242,13,Ulitsa Sergeya Eyzenshteyna,Улица Сергея Эйзенштейна,"55.8292,37.6449"
243,14,Okruzhnaya,Окружная,"55.8472,37.5694"
244,14,Vladykino,Владыкино,"55.8476,37.5930"
245,14,Botanichesky Sad,Ботанический сад,"55.8460,37.6413"
246,14,Rostokino,Ростокино,"55.8400,37.6653"
247,14,Belokamennaya,Белокаменная,"55.8300,37.7006"
248,14,Bulvar Rokossovskogo,Бульвар Рокоссовского,"55.8172,37.7369"
249,14,Lokomotiv,Локомотив,"55.8039,37.7460"
250,14,Izmaylovo,Измайлово,"55.7886,37.7428"
251,14,Sokolinaya Gora,Соколиная Гора,"55.7714,37.7451"
252,14,Shosse Entuziastov,Шоссе Энтузиастов,"55.7590,37.7463"
253,14,Andronovka,Андроновка,"55.7411,37.7344"
254,14,Nizhegorodskaya,Нижегородская,"55.7322,37.7282"
255,14,Novokhokhlovskaya,Новохохловская,"55.7239,37.7161"
256,14,Ugreshskaya,Угрешская,"55.7183,37.6978"
257,14,Dubrovka,Дубровка,"55.7183,37.6978"
258,14,Avtozavodskaya,Автозаводская,"55.7063,37.6631"
259,14,ZIL,ЗИЛ,"55.6983,37.6483"
260,14,Verkhniye Kotly,Верхние Котлы,"55.6900,37.6189"
261,14,Krymskaya,Крымская,"55.6900,37.6050"
262,14,Ploshchad Gagarina,Площадь Гагарина,"55.7069,37.5858"
263,14,Luzhniki,Лужники,"55.7203,37.5631"
264,14,Kutuzovskaya,Кутузовская,"55.7408,37.5333"
265,14,Delovoy Tsentr,Деловой центр,"55.7472,37.5322"
266,14,Shelepikha,Шелепиха,"55.7575,37.5256"
267,14,Khoroshyovo,Хорошёво,"55.7772,37.5072"
268,14,Zorge,Зорге,"55.7878,37.5045"
269,14,Panfilovskaya,Панфиловская,"55.7991,37.4988"
270,14,Streshnevo,Стрешнево,"55.8136,37.4869"
271,14,Baltiyskaya,Балтийская,"55.8258,37.4961"
272,14,Koptevo,Коптево,"55.8397,37.5203"
273,14,Likhobory,Лихоборы,"55.8472,37.5513"
274,15,Elektrozavodskaya,Электрозаводская,"55.780292,37.703013"
275,15,Lefortovo,Лефортово,"55.764738,37.706747"
276,15,Aviamotornaya,Авиамоторная,"55.753670,37.719149"
277,15,Nizhegorodskaya,Нижегородская,"55.731748,37.730076"
278,15,Stakhanovskaya,Стахановская,"55.7250,37.7619"
279,15,Okskaya,Окская,"55.7186,37.7817"
280,15,Yugo-Vostochnaya,Юго-Восточная,"55.704970,37.819010"
281,15,Kosino,Косино,"55.7033,37.8511"
282,15,Ulitsa Dmitriyevskogo,Улица Дмитриевского,"55.7100,37.8792"
283,15,Lukhmanovskaya,Лухмановская,"55.7085,37.9004"
284,15,Nekrasovka,Некрасовка,"55.7036,37.9264"
